iShares Core MSCI Emerging Markets ETF
Inception Date,"Oct 18, 2012"
Fund Holdings as of,"05-Aug-2015"
Total Net Assets,"$7,149,741,212"
Shares Outstanding,"162,200,000"
Stock,"99.12"
Bond,"0.00"
Cash,"0.39"
Other,"0.50"
 
Ticker,Name,ISIN,SEDOL,Weight (%),Sector,Asset Class,Country,Market Value,Shares,Price,Exchange,Currency,Market Currency,FX Rate,Notional Value
"386","CHINA PETROLEUM & CHEMICAL CORP.","CNE1000002Q2","6291819","0.4417","Energy","Equity","China","$31,797,416","42,280,200","0.75","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"TCS","TATA CONSULTANCY SERVICES LTD","INE467B01029","B01NPJ1","0.4352","Information Technology","Equity","India","$31,331,682","784,230","39.95","National Stock Exchange Of India","USD","INR","63.76","-"
"SHF","STEINHOFF INTERNATIONAL HOLDING LT","ZAE000016176","6127936","0.3252","Consumer Discretionary","Equity","South Africa","$23,412,552","3,825,919","6.12","Johannesburg Stock Exchange","USD","ZAR","12.80","-"
"BRFS3","BRF SA","BRBRFSACNOR8","2036995","0.3115","Consumer Staples","Equity","Brazil","$22,423,750","1,086,200","20.64","XBSP","USD","BRL","3.49","-"
"GFNORTEO","GPO FINANCE BANORTE","MXP370711014","2421041","0.2973","Financials","Equity","Mexico","$21,402,854","4,174,500","5.13","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","16.37","-"
"2882","CATHAY FINANCIAL HOLDING LTD","TW0002882008","6425663","0.2969","Financials","Equity","Taiwan","$21,370,917","13,354,078","1.60","Taiwan Stock Exchange","USD","TWD","31.62","-"
"WALMEX*","WALMART DE MEXICO V","MX01WA000038","BW1YVH8","0.2943","Consumer Staples","Equity","Mexico","$21,186,802","8,746,100","2.42","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","16.37","-"
"BBCA","BANK CENTRAL ASIA","ID1000109507","B01C1P6","0.2918","Financials","Equity","Indonesia","$21,004,172","20,719,100","1.01","Indonesia Stock Exchange","USD","IDR","13,514.06","-"
"035420","NAVER CORP","KR7035420009","6560393","0.2909","Information Technology","Equity","Korea (South)","$20,937,828","46,807","447.32","Korea Exchange (Stock Market)","USD","KRW","1,173.65","-"
"TLEVISACPO","GRUPO TELEVISA","MXP4987V1378","2380108","0.3786","Consumer Discretionary","Equity","Mexico","$27,252,746","4,103,200","6.64","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","16.37","-"
"3968","CHINA MERCHANTS BANK CO. LTD H","CNE1000002M1","B1DYPZ5","0.2870","Financials","Equity","China","$20,662,974","7,682,464","2.69","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"PBBANK","PUBLIC BANK","MYL1295OO004","B012W42","0.2858","Financials","Equity","Malaysia","$20,572,773","4,167,760","4.94","Bursa Malaysia","USD","MYR","3.88","-"
"2881","FUBON FINANCIAL HOLDING CO LTD","TW0002881000","6411673","0.2817","Financials","Equity","Taiwan","$20,280,785","11,056,000","1.83","Taiwan Stock Exchange","USD","TWD","31.62","-"
"GAZP","GAZPROM OAO","RU0007661625","B59L4L7","0.2802","Energy","Equity","Russian Federation","$20,168,119","8,844,320","2.28","Standard-Classica-Forts","USD","RUB","62.92","-"
"SBK","STANDARD BANK GROUP","ZAE000109815","B030GJ7","0.3421","Financials","Equity","South Africa","$24,629,446","2,008,540","12.26","Johannesburg Stock Exchange","USD","ZAR","12.80","-"
"005490","POSCO","KR7005490008","6693233","0.2671","Materials","Equity","Korea (South)","$19,228,262","115,139","167.00","Korea Exchange (Stock Market)","USD","KRW","1,173.65","-"
"055550","SHINHAN FINANCIAL GROUP LTD","KR7055550008","6397502","0.3293","Financials","Equity","Korea (South)","$23,707,463","670,464","35.36","Korea Exchange (Stock Market)","USD","KRW","1,173.65","-"
"MGNT","PJSC MAGNIT GDR","US55953Q2021","B2QKYZ0","0.3278","Consumer Staples","Equity","Russian Federation","$23,600,246","434,627","54.30","London Stock Exchange","USD","USD","1.00","-"
"TLKM","TELEKOMUNIKASI INDONESIA","ID1000129000","BD4T6W7","0.2519","Telecommunication Services","Equity","Indonesia","$18,134,740","83,358,500","0.22","Indonesia Stock Exchange","USD","IDR","13,514.06","-"
"033780","KT&G CORP","KR7033780008","6175076","0.2373","Consumer Staples","Equity","Korea (South)","$17,085,606","183,128","93.30","Korea Exchange (Stock Market)","USD","KRW","1,173.65","-"
"ASII","ASTRA INTERNATIONAL","ID1000122807","B800MQ5","0.2344","Consumer Discretionary","Equity","Indonesia","$16,870,958","33,528,700","0.50","Indonesia Stock Exchange","USD","IDR","13,514.06","-"
"APN","ASPEN PHARMACARE LTD","ZAE000066692","B09C0Z1","0.2294","Health Care","Equity","South Africa","$16,516,188","571,236","28.91","Johannesburg Stock Exchange","USD","ZAR","12.80","-"
"051910","LG CHEM LTD","KR7051910008","6346913","0.2283","Materials","Equity","Korea (South)","$16,436,628","78,259","210.03","Korea Exchange (Stock Market)","USD","KRW","1,173.65","-"
"3008","LARGAN PRECISION LTD","TW0003008009","6451668","0.2256","Information Technology","Equity","Taiwan","$16,237,330","170,000","95.51","Taiwan Stock Exchange","USD","TWD","31.62","-"
"2454","MEDIATEK INC.","TW0002454006","6372480","0.2937","Information Technology","Equity","Taiwan","$21,139,663","2,475,572","8.54","Taiwan Stock Exchange","USD","TWD","31.62","-"
"000270","KIA MOTORS CORP","KR7000270009","6490928","0.2224","Consumer Discretionary","Equity","Korea (South)","$16,010,597","435,477","36.77","Korea Exchange (Stock Market)","USD","KRW","1,173.65","-"
"1303","NAN YA PLASTICS CORP.","TW0001303006","6621580","0.2188","Materials","Equity","Taiwan","$15,752,126","7,662,440","2.06","Taiwan Stock Exchange","USD","TWD","31.62","-"
"BBRI","BANK RAKYAT INDONESIA (PERSERO) OR","ID1000118201","6709099","0.2102","Financials","Equity","Indonesia","$15,130,161","18,932,400","0.80","Indonesia Stock Exchange","USD","IDR","13,514.06","-"
"LT","LARSEN AND TOUBRO LTD","INE018A01030","B0166K8","0.2088","Industrials","Equity","India","$15,028,164","538,391","27.91","National Stock Exchange Of India","USD","INR","63.76","-"
"NOVKY","OAO NOVATEK GDR","US6698881090","B99CZN7","0.2079","-","Equity","Russian Federation","$14,965,972","152,714","98.00","Non-Nms Quotation Service (Nnqs)","USD","USD","1.00","-"
"688","CHINA OVERSEAS LAND & INVESTMENT L","HK0688002218","6192150","0.2866","Financials","Equity","China","$20,630,495","6,636,000","3.11","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"1301","FORMOSA PLASTICS CORP.","TW0001301000","6348544","0.2027","Materials","Equity","Taiwan","$14,588,700","6,496,800","2.25","Taiwan Stock Exchange","USD","TWD","31.62","-"
"012330","HYUNDAI MOBIS LTD","KR7012330007","6449544","0.2824","Consumer Discretionary","Equity","Korea (South)","$20,331,169","113,627","178.93","Korea Exchange (Stock Market)","USD","KRW","1,173.65","-"
"HCLT","HCL TECHNOLOGIES LTD.","INE860A01027","6294896","0.1945","Information Technology","Equity","India","$13,998,585","952,080","14.70","National Stock Exchange Of India","USD","INR","63.76","-"
"ITSA4","ITAUSA-INVESTIMENTOS ITAU S/A","BRITSAACNPR7","2458771","0.1918","Financials","Equity","Brazil","$13,809,670","5,900,887","2.34","XBSP","USD","BRL","3.49","-"
"M&M","MAHINDRA AND MAHINDRA LTD","INE101A01026","6100186","0.1904","Consumer Discretionary","Equity","India","$13,706,333","630,095","21.75","National Stock Exchange Of India","USD","INR","63.76","-"
"105560","KB FINANCIAL GROUP INC","KR7105560007","B3DF0Y6","0.2777","Financials","Equity","Korea (South)","$19,987,917","632,313","31.61","Korea Exchange (Stock Market)","USD","KRW","1,173.65","-"
"VALE5","CIA VALE DO RIO DOCE PFD SH -A-","BRVALEACNPA3","2257127","0.1897","Materials","Equity","Brazil","$13,656,390","3,097,800","4.41","XBSP","USD","BRL","3.49","-"
"ITC","ITC LTD.","INE154A01025","B0JGGP5","0.2705","Consumer Staples","Equity","India","$19,472,967","3,741,709","5.20","National Stock Exchange Of India","USD","INR","63.76","-"
"1044","HENGAN INTERNATIONAL GROUP LTD","KYG4402L1510","6136233","0.1843","Consumer Staples","Equity","China","$13,268,847","1,218,000","10.89","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"BVT","BIDVEST GROUP LTD","ZAE000117321","6100089","0.1801","Industrials","Equity","South Africa","$12,962,580","520,523","24.90","Johannesburg Stock Exchange","USD","ZAR","12.80","-"
"LUKOY","LUKOIL ADR ORD","US6778621044","2537432","0.2651","Energy","Equity","Russian Federation","$19,085,274","475,942","40.10","Non-Nms Quotation Service (Nnqs)","USD","USD","1.00","-"
"3328","BANK OF COMMUNICATIONS CO. LTD.","CNE100000205","B0B8Z29","0.1799","Financials","Equity","China","$12,948,101","14,696,000","0.88","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"2002","CHINA STEEL CORP.","TW0002002003","6190950","0.1780","Materials","Equity","Taiwan","$12,816,881","18,254,529","0.70","Taiwan Stock Exchange","USD","TWD","31.62","-"
"090430","AMOREPACIFIC CORP","KR7090430000","B15SK50","0.2627","Consumer Staples","Equity","Korea (South)","$18,911,960","54,402","347.63","Korea Exchange (Stock Market)","USD","KRW","1,173.65","-"
"728","CHINA TELECOM CORP LTD H","CNE1000002V2","6559335","0.1753","Telecommunication Services","Equity","China","$12,619,536","22,964,000","0.55","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"SUNPHARMA","SUN PHARMACEUTICAL INDUSTRIES LTD","INE044A01036","6582483","0.2611","Health Care","Equity","India","$18,796,548","1,423,416","13.21","National Stock Exchange Of India","USD","INR","63.76","-"
"UGPA3","ULTRAPAR PARTICIPACOES S/A","BRUGPAACNOR8","B0FHTN1","0.1705","Energy","Equity","Brazil","$12,271,044","604,300","20.31","XBSP","USD","BRL","3.49","-"
"2601","CHINA PACIFIC INSURANCE (GROUP) LT","CNE1000009Q7","B2Q5H56","0.2593","Financials","Equity","China","$18,667,515","4,425,400","4.22","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"992","LENOVO GROUP LTD","HK0992009065","6218089","0.1695","Information Technology","Equity","China","$12,198,901","11,178,000","1.09","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"015760","KOREA ELECTRIC POWER CORP","KR7015760002","6495730","0.2590","Industrials","Equity","Korea (South)","$18,645,250","424,089","43.97","Korea Exchange (Stock Market)","USD","KRW","1,173.65","-"
"PETR4","PETROLEO BRASILEIRO PREF SA","BRPETRACNPR6","2684532","0.2579","Energy","Equity","Brazil","$18,563,109","6,474,000","2.87","XBSP","USD","BRL","3.49","-"
"1326","FORMOSA CHEMICALS & FIBRE CORP.","TW0001326007","6348715","0.1668","Materials","Equity","Taiwan","$12,004,702","5,157,210","2.33","Taiwan Stock Exchange","USD","TWD","31.62","-"
"2328","PICC PROPERTY AND CASUALTY COMPANY","CNE100000593","6706250","0.1644","Financials","Equity","China","$11,834,462","5,843,360","2.03","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"2412","CHUNGHWA TELECOM CO. LTD.","TW0002412004","6287841","0.2565","Telecommunication Services","Equity","Taiwan","$18,463,390","5,879,000","3.14","Taiwan Stock Exchange","USD","TWD","31.62","-"
"032830","SAMSUNG LIFE LTD","KR7032830002","B12C0T9","0.1631","Financials","Equity","Korea (South)","$11,742,290","133,153","88.19","Korea Exchange (Stock Market)","USD","KRW","1,173.65","-"
"HINDUNILVR","HINDUSTAN UNILEVER LTD","INE030A01027","6261674","0.2538","Consumer Staples","Equity","India","$18,268,981","1,281,905","14.25","National Stock Exchange Of India","USD","INR","63.76","-"
"BMRI","BANK MANDIRI (PERSERO)","ID1000095003","6651048","0.1624","Financials","Equity","Indonesia","$11,686,994","16,116,200","0.73","Indonesia Stock Exchange","USD","IDR","13,514.06","-"
"CIEL3","CIELO S/A","BRCIELACNOR3","B614LY3","0.2486","Information Technology","Equity","Brazil","$17,894,286","1,420,092","12.60","XBSP","USD","BRL","3.49","-"
"051900","LG HOUSEHOLD & HEALTH CARE LTD","KR7051900009","6344456","0.1607","Consumer Staples","Equity","Korea (South)","$11,564,682","15,655","738.72","Korea Exchange (Stock Market)","USD","KRW","1,173.65","-"
"SIME","SIME DARBY BHD","MYL4197OO009","B29TTR1","0.1600","Industrials","Equity","Malaysia","$11,516,884","5,080,400","2.27","Bursa Malaysia","USD","MYR","3.88","-"
"MAYBANK","MALAYAN BANKING","MYL1155OO000","6556325","0.2472","Financials","Equity","Malaysia","$17,793,404","7,507,500","2.37","Bursa Malaysia","USD","MYR","3.88","-"
"CEMEXCPO","CEMEX CPO","MXP225611567","2406457","0.2393","Materials","Equity","Mexico","$17,224,614","21,283,123","0.81","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","16.37","-"
"SCB.R","SIAM COMMERCIAL BANK NON-VOTING DR","TH0015010R16","6363172","0.1588","Financials","Equity","Thailand","$11,431,873","2,653,100","4.31","Stock Exchange Of Thailand","USD","THB","35.16","-"
"TNB","TENAGA NASIONAL BHD","MYL5347OO009","6904612","0.2389","Utilities","Equity","Malaysia","$17,194,395","5,659,700","3.04","Bursa Malaysia","USD","MYR","3.88","-"
"SBIN","STATE BANK OF INDIA","INE062A01020","BSQCB24","0.1584","Financials","Equity","India","$11,402,839","2,547,260","4.48","National Stock Exchange Of India","USD","INR","63.76","-"
"PKO","POWSZECHNA KASA OSZCZEDNOSCI BANK","PLPKO0000016","B03NGS5","0.1568","Financials","Equity","Poland","$11,288,989","1,454,381","7.76","Warsaw Stock Exchange/Equities/Main Market","USD","PLN","3.84","-"
"GARAN","TURKIYE GARANTI BANKASI A","TRAGARAN91N1","B03MYP5","0.1550","Financials","Equity","Turkey","$11,159,573","3,952,786","2.82","Istanbul Stock Exchange","USD","TRY","2.79","-"
"2891","CTBC FINANCIAL HOLDING CO LTD","TW0002891009","6527666","0.2369","Financials","Equity","Taiwan","$17,056,846","22,518,241","0.76","Taiwan Stock Exchange","USD","TWD","31.62","-"
"1288","AGRICULTURAL BANK OF CHINA LTD H","CNE100000Q43","B60LZR6","0.2347","Financials","Equity","China","$16,894,896","37,527,000","0.45","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"2311","ADVANCED SEMICONDUCTOR ENGINEERING","TW0002311008","6056074","0.1521","Information Technology","Equity","Taiwan","$10,946,879","10,286,000","1.06","Taiwan Stock Exchange","USD","TWD","31.62","-"
"CPALL.R","CP ALL NON-VOTING DR PCL","TH0737010R15","B08YDH1","0.1444","Consumer Staples","Equity","Thailand","$10,394,870","7,497,100","1.39","Stock Exchange Of Thailand","USD","THB","35.16","-"
"BBSE3","BB SEGURIDADE SA","BRBBSEACNOR5","B9N3SQ0","0.1438","Financials","Equity","Brazil","$10,349,412","1,176,500","8.80","XBSP","USD","BRL","3.49","-"
"GMEXICOB","GRUPO MEXICO B","MXP370841019","2643674","0.2337","Materials","Equity","Mexico","$16,822,254","6,422,900","2.62","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","16.37","-"
"PZU","POWSZECHNY ZAKLAD UBEZPIECZEN S.A.","PLPZU0000011","B63DG21","0.1427","Financials","Equity","Poland","$10,270,824","89,628","114.59","Warsaw Stock Exchange/Equities/Main Market","USD","PLN","3.84","-"
"000830","SAMSUNG C&T CORP","KR7000830000","6771601","0.1413","Industrials","Equity","Korea (South)","$10,175,233","208,779","48.74","Korea Exchange (Stock Market)","USD","KRW","1,173.65","-"
"ALI","AYALA LAND INC.","PHY0488F1004","6055112","0.1406","Financials","Equity","Philippines","$10,122,489","12,219,100","0.83","Philippine Stock Exchange Inc.","USD","PHP","45.75","-"
"REM","REMGRO LTD","ZAE000026480","6290689","0.2263","Financials","Equity","South Africa","$16,293,873","788,369","20.67","Johannesburg Stock Exchange","USD","ZAR","12.80","-"
"2319","CHINA MENGNIU DAIRY CO LTD","KYG210961051","B01B1L9","0.1400","Consumer Staples","Equity","China","$10,074,497","2,314,000","4.35","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"KBANK.F","KASIKORNBANK PCL F","TH0016010017","6888794","0.1374","Financials","Equity","Thailand","$9,890,223","1,959,100","5.05","Stock Exchange Of Thailand","USD","THB","35.16","-"
"PETR3","PETROBRAS","BRPETRACNOR9","2682365","0.2222","Energy","Equity","Brazil","$15,994,613","5,080,800","3.15","XBSP","USD","BRL","3.49","-"
"2357","ASUSTEK COMPUTER INC","TW0002357001","6051046","0.1374","Information Technology","Equity","Taiwan","$9,888,372","1,139,000","8.68","Taiwan Stock Exchange","USD","TWD","31.62","-"
"6030","CITIC SECURITIES CO. LTD.","CNE1000016V2","B6SPB49","0.1372","Financials","Equity","China","$9,879,463","3,682,000","2.68","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"LKOH","LUKOIL HOLDINGS","RU0009024277","B59SNS8","0.2128","Energy","Equity","Russian Federation","$15,320,808","381,174","40.19","Standard-Classica-Forts","USD","RUB","62.92","-"
"1800","CHINA COMMUNICATIONS CONSTRUCTIONS","CNE1000002F5","B1JKTQ6","0.1363","Industrials","Equity","China","$9,810,988","7,471,000","1.31","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"BBDC3","BANCO BRADESCO","BRBBDCACNOR1","B00FM86","0.1362","Financials","Equity","Brazil","$9,806,197","1,256,752","7.80","XBSP","USD","BRL","3.49","-"
"SLM","SANLAM LIMITED LTD","ZAE000070660","B0L6750","0.2117","Financials","Equity","South Africa","$15,242,727","2,878,738","5.29","Johannesburg Stock Exchange","USD","ZAR","12.80","-"
"PTT.R","PTT NON-VOTING DR PCL","TH0646010R18","6420408","0.2116","Energy","Equity","Thailand","$15,230,526","1,678,700","9.07","Stock Exchange Of Thailand","USD","THB","35.16","-"
"6837","HAITONG SECURITIES COMPANY LTD CLA","CNE1000019K9","B71SXC4","0.1340","Financials","Equity","China","$9,646,902","5,411,200","1.78","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"998","CHINA CITIC BANK CORP LTD H","CNE1000001Q4","B1W0JF2","0.1332","Financials","Equity","China","$9,586,962","13,537,000","0.71","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"ENERSIS","ENERSIS S.A.","CLP371861061","2299453","0.1297","Utilities","Equity","Chile","$9,339,812","32,250,470","0.29","Santiago Stock Exchange","USD","CLP","683.04","-"
"GMKN","GMK NORILSKIY NIKEL ORD","RU0007288411","B5B1TX2","0.2098","Materials","Equity","Russian Federation","$15,105,324","94,495","159.85","Standard-Classica-Forts","USD","RUB","62.92","-"
"IQCD","INDUSTRIES QATAR","QA000A0KD6K3","6673570","0.1283","Industrials","Equity","Qatar","$9,234,103","245,084","37.68","Qatar Exchange","USD","QAR","3.64","-"
"BBAS3","BANCO DO BRASIL S/A","BRBBASACNOR3","2328595","0.1251","Financials","Equity","Brazil","$9,008,075","1,449,200","6.22","XBSP","USD","BRL","3.49","-"
"BAP","CREDICORP LTD","BMG2519Y1084","2232878","0.2071","Financials","Equity","Peru","$14,907,717","113,548","131.29","New York Stock Exchange Inc.","USD","USD","1.00","-"
"PEO","BANK PEKAO SA","PLPEKAO00016","5473113","0.1250","Financials","Equity","Poland","$9,001,894","212,344","42.39","Warsaw Stock Exchange/Equities/Main Market","USD","PLN","3.84","-"
"096770","SK INNOVATION LTD","KR7096770003","B232R05","0.1245","Energy","Equity","Korea (South)","$8,961,093","109,440","81.88","Korea Exchange (Stock Market)","USD","KRW","1,173.65","-"
"SBER","SBERBANK OF RUSSIA OJSC","RU0009029540","4767981","0.2054","Financials","Equity","Russian Federation","$14,784,643","12,641,030","1.17","Standard-Classica-Forts","USD","RUB","62.92","-"
"3045","TAIWAN MOBILE LTD","TW0003045001","6290496","0.1237","Telecommunication Services","Equity","Taiwan","$8,905,530","2,669,000","3.34","Taiwan Stock Exchange","USD","TWD","31.62","-"
"2308","DELTA ELECTRONICS INC.","TW0002308004","6260734","0.2048","Information Technology","Equity","Taiwan","$14,744,185","2,998,000","4.92","Taiwan Stock Exchange","USD","TWD","31.62","-"
"GFINBURO","GRUPO FINANCIERO INBURSA SRIES O O","MXP370641013","2822398","0.1215","Financials","Equity","Mexico","$8,742,924","3,927,000","2.23","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","16.37","-"
"QNBK","QATAR NATIONAL BANK","QA0006929895","6148197","0.1979","Financials","Equity","Qatar","$14,247,725","284,287","50.12","Qatar Exchange","USD","QAR","3.64","-"
"836","CHINA RESOURCES POWER CO LTD","HK0836012952","6711566","0.1210","Utilities","Equity","China","$8,711,094","3,208,000","2.72","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"2688","ENN ENERGY HOLDINGS LTD.","KYG3066L1014","6333937","0.1168","Utilities","Equity","China","$8,405,960","1,284,000","6.55","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
